[32, 66, 68]
[33, 64, 70]
[31, 64, 65]
[33, 64, 68]
[33, 63, 70]
[31, 62, 68]
[34, 63, 68]
[31, 63, 68]
[33, 61, 68]
[30, 64, 64]
[33, 64, 68]
[31, 63, 68]
[35, 64, 72]
[34, 65, 71]
[33, 65, 69]
[30, 59, 69]
